date,incident,title
2019-06-05,Team called by NWAS. A young lad had received a head injury after being hit by a falling rock at Farleton Knott. Paramedics and team members were soon on scene. Due to the location (very steep ground) the stretcher was lowered using our talons and backroping. As a precautionary measure Rescue 936 was despatched from Caenarfon and airlifted the casualty to Alder Hey. We also received some excellent hospitality (tea and biscuits) from the locals at Townend Farm. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Farleton
2019-06-09,Team called by Langdale and Ambleside MRT to assist with a carry off from Three Tarns. 5 team members deployed and appreciated a nice break in the weather. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Three Tarns
2019-06-11,Team called by Langdale & Ambleside MRT to assist with an incident. Team stood down en route. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Gimmer Crag
2019-07-03,Team called to assist NWAS with a casualty who had sustained a leg injury whilst walking along a path close to Brigsteer. Some team members were just finishing a talk and visit to Kendal Care Home and were able to respond quickly. The casualty was placed on the NWAS scoop stretcher and carried the short distance to the land ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Brigsteer
2019-07-18,"Team called by Langdale and Ambleside MRT to assist with a callout. We were stood down en route, which meant that we could divert to the ice cream parlour for some frozen refreshment. A team member also managed to get a birds eye view of the coastguard heli arriving. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Stickle Ghyll
2019-08-04,"Team called by Cumbria Police, a gentleman out with a walking group, close to Craggstones wood Sedbergh was feeling unwell. Two team members went direct and were able to escort the gentleman down with his walking group. He was assessed by a team Dr and we were able to drive him back to his accommodation while his group continued with their trek. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Sedbergh
2019-08-11,Team called by NWAS and Cumpol. Team requested to attend a possible missing person incident on the river Kent near Sedgwick. Due to the nature of the incident we received assistance from both Duddon & Furness MRT and Cave Rescue Organisation who each provided 5 additional SRT trained personell. All 3 emergency services were in attendance along with MCA support and Bay Rescue. Teams stood down after searches conducted along river banks and the estuary. It was good to see multi agency services working alongside each other as well as combined MRT’s and CRO operating together. Many thanks to the MCA aircrew for the cake and the Fire Rescue Service for the brew. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,River Kent
2019-08-15,"Team called by Cumpol, a fell runner had sustained a fractured ankle just north of Overend Farm in Kentmere. Team arrived and assisted the paramedics from Helimed 58 with treating and transferring the casualty to the helimed. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Kentmere
2019-08-20,Team called by NWAS. A rider was thrown from her horse close to Witherslack Hall. Team assisted in the transfer of the rider to the GNWAS helimed. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Witherslack
2019-08-23,Team were called to assist LAMRT with an incident on Loughrigg Fell. The team were stood down as we prepared to depart. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Loughrigg Fell
2019-08-23,"In our second callout of the day, the team received a request for assistance with what turned out to be a successful search for a vulnerable person. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Staveley
2019-08-25,Team called to assist Langdale Ambleside MRT after a lady was seen falling from Jacks Rake. Unfortunately she had died from her injuries and we assisted with the recovery and evacuation. Our thoughts are with her family. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Staveley
2019-08-27,"Team called by Langdale & Ambleside MRT to assist with a carry off from Blea Rigg, a walker had sustained a lower leg injury and was treated on scene by LAMRT members before making the descent. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Blea Rigg
2019-09-03,Team called by NWAS to assist an ambulance crew with a casualty at Whitbarrow Scar. Team stood down as we prepared to depart. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Whitbarrow Scar
2019-09-10,"Team received a request from Langdale Ambleside Mountain Rescue Team (LAMRT) . They had two call outs at the same time and could we pick up the second. Two females had reported themselves benighted close to Easdale tarn. They had used the What3Words app which, once converted to a grid reference by our Sarcall software, gave us a location. A member of Langdale team who had joined in the search managed to locate them and confirm that they were fit and well. Once we were on site we all guided them back to Grasmere. We would also like to thank Lakes Search dogs who were prepared to assist if needed and also Kirby Stephen MRT who provide additional manpower should a more extensive search be required or if a stretcher carry was required. The What3Words app is being used increasingly by persons finding themselves lost or in need of assistance. We would like to remind people that it is a location finder and not a means of navigation. As the nights draw in it is a timely reminder that adequate navigational tools (map/compass), torches, extra food and drink and any additional layers of inner/outer clothing are items to consider putting in your rucksack. Finally, please watch your step as common toads are on the move enjoying the wet conditions. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Easedale Tarn
2019-09-20,Team called to assist Langdale Ambleside MRT in a carry off along the Stickle Ghyll path. A walker had sustained a lower leg injury and she was safely stretchered down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Stickle Tarn
2019-10-12,"Team was called to assist with Langdale Ambleside MRT with an incident on Crinkle Crags. En route, the team was diverted to a new callout on Farleton Knott. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","L&A Assist, Crinkle Crags"
2019-10-12,"Whilst travelling to a previous callout, the team was notified of NWAS requiring assistance with an incident on Farelton knott. The team diverted to this incident. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Farleton Knott
2019-10-13,At 02:27hrs this morning we were called by LAMRT to assist with one of the Lakes in a Day competitors who was in difficulty. With a team member in contact with the competitor and 3 heading direct those leaving from base were stood down en route. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,"L&A Assist, Fairfield"
2019-10-13,"At 11:50hrs we were called by Cumbria Police concerning a gentleman who had suffered a severe lower leg injury at School Knott Tarn, although this location is just outside our area and within LAMRT area we already had team members at base doing cas care training and LAMRT agreed it was quicker for us to deploy. The casualty was treated and stretchered to an awaiting ambulance Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",School Knott
2019-10-22,"Start of a busy Tuesday evening for the team, we were first called by NWAS after reports that someone had taken a fall on the crags at Hutton Roof. On arrival we treated the casualty for a lower leg injury. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Hutton Roof
2019-10-22,"Minutes after transferring the casualty to the awaiting ambulance in our previous incident, Cumbria Police contacted the team and the Cave Rescue Organisation CRO reference a missing vulnerable person in the Barbon area. Shortly after establishing an RV point we heard the good news that a search party from CRO had successfully found the person. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Barbon
2019-11-01,Team called by Cumbria Police after 2 people encountered difficulties on Gummers How. Team members soon on scene and after confirming no injuries accompanied the walkers down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Gummers How
2019-11-09,"Team called by NWAS, they were dealing with a casualty who had suffered a lower leg injury on steep ground at Kendal castle. Casualty care training was just about to commence at base so we were able to get on scene quickly and with sufficient numbers stretchered the casualty down to the ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Castle Hill
2019-11-15,"Team called by Cumbria Police, a lady had sustained a lower leg injury whilst fell walking near Grey crag on Sleddale Fell. The casualty was treated on scene and we are grateful to members of Duddon and Furness MRT who assisted us on scene and with the carry off. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Grey Crag
2019-11-16,"We were notified by Penrith MRT of an ongoing search in their area. We monitored the developments, and fortunately the persons were located before we needed to assist. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Penrith Assist
2019-11-20,"Team were notified of an incident on Hampsfell, but were stood down while on route. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Hampsfell
2019-11-30,"The team were notified of a male stuck in the sand in Morecambe bay. After ensuring that sufficient CFRS personnel were attending, the team remained on alert only for this incident. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Morecambe Bay
2019-11-30,Team contacted by Langdale Ambleside MRT to assist with a carry off in Easdale. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Easedale
2019-12-07,Team called by NWAS. A young lad had taken a tumble on his mountain bike in the woods nr Bowston. Fortunately a first responder on scene was Ex Kendal MRT and also one of our team members lived nearby. This enabled a quick response and ensured the team was well prepared on arrival. The young lad was soon treated and stretchered to the awaiting land ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Bowston
2020-01-18,Team called by Langdale Ambleside MRT to assist with a potential long carry off after a fell walker had taken a fall and sustained an injury. The arrival of R936 ensured a shorter carry and the casualty was soon on his way to hospital. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Harrison Stickle
2020-02-03,"The team were paged by Cumbria Police, with a report of walkers lost on Gummers How. Using their location from their mobile phone, and a bit of local knowledge, it was possible to talk the walkers down to the road, where a team member met them and returned them to their car. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Gummers How
2020-02-09,"The team was paged by NWAS requesting assistance for a nurse getting access to a patient. The team prepared to assist, but in the end access was possible and there was no need for us to deploy. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Milnthorpe
2020-02-16,"Team asked for assistance by NWAS with access to a remote property where access was flooded. Team sent a vehicle and team members to investigate, and were able to find a safe path for the ambulance to access the property. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Levens
2020-03-01,"The team were called by Langdale Ambleside MRT, asking for help with a long stretcher carry down from Easedale. The team sent a vehicle, and were able to lighten the load. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Easedale Tarn
2020-03-07,Team called by Langdale Ambleside MRT (LAMRT) to assist with locating a lost fell runner around the Hart Crag area. Progress was hampered by elements both natural and bovine. As the conditions worsened we also deployed a back up team which stood by at Ambleside’s base. The runner was located and safely brought down the fell. After a warming brew (and a pie) courtesy of LAMRT the team were back at base by 21:20hrs Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Hart Crag
2020-03-08,"For the second day running, the team were called by LAMRT for assistance with an incident at White Moss. As we were en route, we were redirected to a different incident at Stickle Tarn. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Stickle Tarn
2020-03-13,"Team called by Cumbria Police, a female walker had slipped whilst on Winder Fell and sustained a suspected ankle fracture. she was stretchered down safely to an awaiting NWAS ambulance which was waiting for us in Sedbergh. It was good to work alongside Kirkby Stephen MRT who responded to our request for assistance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Winder Fell
2020-03-15,The team were paged by Kirkby Stephen for assistance with a casualty. They needed our team’s specialist autopulse equipment. A vehicle was sent with 2 operators of the machine. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kirkby Stephen Assist
2020-03-21,"The team was paged by Cumbria Police. A fell runner had reported incurring a lower leg injury in Kentmere. On contacting the runner, we found out that they had encountered some walkers, and were able to make their own way off with their assistance, so we stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Kentmere
2020-05-05,"The team were paged with reports of a man on Scout Scar reporting leg injuries. The team arrived on scene shortly after the ambulance crew, and were able to stretcher the casualty to the ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Scout Scar
2020-05-06,"The team was called by NWAS to aid a mountain biker who had fallen and injured his shoulder. We deployed a number of team members to RV near the scene, while helimed was also tasked. While the assembled team members stood by, a team doctor was able to assist the helimed crew in treating the casualty and getting them into the helicopter. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Dalton Crags
2020-05-17,"The team attended a mountain biker with a shoulder injury. They were able to treat the injury on scene, then stretcher the casualty to a waiting land ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Cocklaw Fell
2020-05-28,The team was asked by NWAS to assist with an injured farmer on a fellside near Sedbergh. The team assisted in transferring the casualty to the ambulance on a stretcher. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Sedbergh
2020-05-30,"The team were paged by NWAS to assist with a potentially tricky extraction from near Devil’s Bridge in Kirkby Lonsdale. As the team were assembling, we received a message that the casualty had made it to the ambulance and we stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Devil’s Bridge
2020-06-12,The team was asked by CUMPOL to assist in locating a missing person. The person was located safe and well after a short time. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Ghyll Head
2020-06-12,"The team was paged by NWAS to an incident next to the river near Low Wood Caravan park. We arrived on scene shortly before a helimed crew, and were able to treat the casualty, who had fallen from the path onto rocks near the river. The casualty was stretchered to an attending land ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Low Wood
2020-06-22,Team requested to assist NWAS with a short stretcher carry from near the monument on Scout Scar down to the car park. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Scout Scar
2020-06-22,Team requested to assist NWAS with a casualty on a remote path close to Fellside plantation. The casualty was moved to one of our off road vehicles and then transferred to the awaiting ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Whitbarrow
2020-06-24,"The team were paged for assistance with a search for an overdue walker. After initial assessment, the call was passed to Kirkby Stephen MRT as the area was within their patch. After searching overnight, KSMRT requested our assistance in continuing the search and relieving their team. Sadly, the body of the missing man was found later in the morning by one of our team’s search dog handlers. Our thoughts are with the man’s family, loved ones and friends.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Kirkby Stephen Assist, Rawthey Bridge"
2020-07-12,The team was called by KSMRT for our autopulse. The team sent the piece of kit with 2 team members. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kirkby Stephen Assist
2020-07-13,The team was called to help a walker who was lost in Chapel House Woods. We were able to contact the walker and ensure they made it back to a path and helped themselves out of the woods. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Chapel House Woods
2020-07-15,"The team were called by NWAS to assist with a walker who had fallen. The team deployed a Land Rover and team members, but stood down en-route as the casualty was able to walk off with the assistance of the ambulance team. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Helsington Barrows
2020-07-16,Team received calls from both Cumbria Police and NWAS 1 minute apart both reporting incidents on Whitbarrow Scar. A walker had taken a tumble over a stile and received arm and head injuries. Meanwhile her companion had collapsed whilst raising the alarm. With 2 potential casualty sites we requested the assistance of Duddon and Furness MRT. Both casualties were located and treated. The casualty who collapsed was soon mobile and stayed with a team member while his companion was safely stretchered down the fell to an awaiting Ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Whitbarrow Scar
2020-07-18,"The team was paged to assist with a casualty who had falled into a stream in Borrowdale. As the team was mobilising, we received word that the casualty had made it to a vehicle and we stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Borrowdale
2020-07-25,"The team were paged by NWAS for assistance with a young girl who had fallen from a rope swing. The team deployed two vehicles, and were able to treat the injuries and carry the casualty to the ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Craggy Plantation, Staveley"
2020-07-26,After a full day swiftwater training we received a request from Langdale Ambleside MRT at 18:45hrs to assist with an incident involving an injured walker. Once the location was confirmed the teams found the casualty and brought them safely down. The team got back to base just after midnight. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Far Easedale
2020-08-04,"The team was paged by Cumbria Police reporting walkers lost in the clag near Sour Howes. Using Phone Find technology, we were able to pinpoint the position of the walkers, and then talk them back to safety without deploying the team. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Sour Howes
2020-08-08,Team responded to a request for assistance from Langdale Ambleside MRT. A casualty suffered a leg injury whilst walking near Angle tarn. Team members assisted with the treatment and stretcher down. Whilst on scene an inquisitive local contemplated hitching a free ride as well. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,"L&A Assist, Angle Tarn"
2020-08-09,Team called by NWAS to assist with a casualty located in Kentmere and suffering from a suspected fracture of the ankle. Casualty was treated by the team and on scene paramedics before being transported in one of our off road vehicles to the ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kentmere
2020-08-15,"The team was asked by NWAS for assistance accessing a casualty in a hard-to-access location. As the team were en route, we were informed that the casualty had been able to get themselves to the ambulance, and we stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Barbondale
2020-08-16,"The team were paged by LAMRT for assistance with a casualty near Rydal Water. On contacting them, it transpired that they now had enough resources, and the team did not need to mobilise. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","L&A Assist, Rydal Water"
2020-08-20,"Team responded to a request for assistance from LAMRT for a casualty on the path to Stickle Tarn. Whilst en route, the team was informed that LAMRT had enough bodies on scene and returned to base. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","L&A Assist, Stickle Gill"
2020-08-25,Cumbria police requested assistance from the team to recover a body from an awkward location. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kendal
2020-09-01,Team responded to a request for assistance from LAMRT. The teams were faced with a potential long carry off from Harrison Stickle. Fortunately Helimed58 from GNAA was able to assist and airlifted the casualty from the cas site to a landing area close to the New Dungeon Ghyll. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,"L&A Assist, Harrison Stickle"
2020-09-03,Team called by NWAS to assist with the extraction of a young lad from Spital quarry. The team worked alongside GNAAS Helimed and NWAS paramedics to ensure the casualty was moved safely and transferred to the Helimed. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Spital Quarry
2020-09-06,Team called by NWAS to an incident on Barbon fell after a walker had slipped and received a lower leg injury. NWAA also attended. After being treated by our team doctor and helimed paramedics it was decided to sled her down the short distance to the land ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Barbon
2020-09-11,Team called by Cumbria police to assist in the search for a missing person in the Hampsfell area near Grange over Sands. We were assisted by the Lake District Mountain Rescue Dogs. The team stood down at 03:20 hrs 12/9/20 and resumed the search at 09:00hrs with fellow MRT members from Duddon and Furness MRT. At 09:55hrs the teams received the good news that Cumbria police had located the misper who was safe and not requiring any medical attention from the team. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Hampsfell
2020-09-12,12/9/20: 18:00hrs: Team called by LAMRT. Requested to assist with a carry off from Harrison Stickle after a walker suffered a suspected broken ankle. The teams were soon operating in darkness as the night’s are now drawing in. Please be #adventuresmart and ensure that you and your walking companions are prepared for any eventuality on the fells. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,"L&A Assist, Harrison Stickle"
2020-09-14,Team called to Kendal Castle by NWAS after a gentleman had fallen after feeling unwell. The gentleman and his wife were able to sit in our vehicle and we transported them down to receive more treatment in the ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kendal Castle
2020-11-07,Team called by Cumbria Police. A climber received a lower leg injury after a rock fall on one of the climbing routes on Scout Scar. The casualty was treated on scene and using team members for support was able to hobble on to the top of the scar. She was then stretchered back down to Scout Scar car park. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Scout Scar
2020-12-03,"The team was paged by NWAS with reports of a vulnerable person in need of assistance. The team despatched a vehicle and had more team members preparing to depart, when we received word that Cumbria Police were on scene and we weren’t needed, so we stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Milnthorpe
2020-12-19,On Saturday 19th Dec the Kendal team and the Lake District Mountain Rescue Search Dogs were called to assist in the multi agency search for a missing woman in Grange. We were stood down when Cumbria Police confirmed the discovery of a body. The teams thoughts are with her family and we wish to extend our condolences to all who knew her. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Grange
2021-01-03,Team called by NWAS. A walker had slipped and received a hip/pelvic injury whilst enjoying a walk on the helm. She was treated by team members and a team doctor on scene. She was then stretchered a short distance to the ambulance for transfer to hospital. We also got re acquainted with some fell ponies who always take an interest in our rescues. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,The Helm
2021-01-15,The team received a call that a dog was having trouble making his way off the hill due to the snow. The team sent a small number of team members to help the owners bring him back to their car. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Longsleddale
2021-01-20,Team deployed a small number of rope rescue technicians to assist with a pregnant ewe who had taken a fall off the cliff side at Humphrey Head. Rumour has it that one of the lambs will be called Andy after he developed a nice bond with the ewe. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Humphrey Head
2021-04-14,"The team was asked by Penrith in locating a missing walker who had split from their group near Nan Bield pass. The team sent a vehicle towards Kentmere reservoir with the intention of walking up to the pass, but encountered the walker on their way out of the valley. We were able to drive them back to our base and reunited them with their family. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Kentmere
2021-04-24,Team responded to an NWAS request to assist them in moving a casualty who had tripped and sustained a head injury. The casualty had already been treated by the Paramedics and we swiftly made her secure on our stretcher before a short carry down to the ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Serpentine Woods
2021-04-29,Team called by Cumbria Police after a walker suffered a lower leg injury. The casualty was close to Cautley Spout which sits on the border of our own and Kirkby Stephen MRT areas. Both teams deployed and once on site confirmed that the woman had a suspected lower leg fracture. Once treated on scene the casualty was stretched down and transferred to a waitingNWAS crew at the Cross Keys. IT was good. to work alongside neighbouring teams again. We wish the casualty a full recovery. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Cautley Spout
2021-05-17,"Team requested by NWAS to attend an incident on the screes at Falton. A lone walker had slipped and sustained facial injuries. She was unsure of her exact location so we sent a SARLOC request to her phone and got her location. The casualty was soon being looked after and was able to walk down with assistance from team members. We also had some interest from the local horses, which are getting used to us now. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Farlton
2021-05-16,Kirkby Stephen MRT requested our help in Hebblethwaite Gill Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,KSMRT Assist
2021-05-19,"Team called by Cumbria Police. A young walker with a Duke of Edinburgh gold award group had suffered a suspected knee dislocation whilst on Ayegill Pike. Due to the location we also requested assistance from Kirkby Stephen MRT. Once on scene our team doctor assessed the casualty and we stretchered him down for onward travel in the care of his DofE teachers. It was encouraging to see the instructors, teachers and DofE students following all the guidelines in dealing with an emergency whilst on the fells Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Aye Gill Pike
2021-05-29,"Team called via Cumbria Police. A dog had suffered from heat exhaustion whilst walking with her owners on the helm. After some TLC from the teams “Dog whisperer” Shane, Bella was soon feeling a lot better. It is always nice to see people and their pets out and enjoying some much needed sunshine. Please make sure both yourselves and your pets are hydrated and you carry spare water. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",The Helm
2021-05-30,Team called by Langdale Ambleside MRT. They were in the process of dealing with multiple callouts and requested our help when another came through. Ollie the dog had sustained an injury to his hind leg whilst out with his owner. It was fortunate for Ollie that the teams “Dog whisperer” Shane was on hand for his second dog rescue in two days. We received some advice from Oakhill veterinary’s on call vet and Ollie was administered some pain relief and was soon comfy in a backpack ready for transport off the hill. We are not sure if searchdog Fern is contemplating whether this should also become normal practise when out with Dave. As with all our casualties we wish Ollie and Bella speedy recoveries. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Three Tarns
2021-06-04,"The team were called by NWAS to assist with extraction of a young person who had slipped on rocks. As we were mobilising, we were informed that our assistance was no longer required, and we stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Devil’s Bridge
2021-06-21,"A woman taking an early morning walk on Scout Scar for the solstice had injured her ankle and requested help getting off the hill. A team was dispatched, and stretchered her back to a waiting vehicle. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Scout Scar
2021-06-27,The team was called by cumbria police to assist with a situation which was resolved before we arrived. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Paddy Lane
2021-06-28,Team called by NWAS. A walker had slipped whilst enjoying a walk close to Cautley Spout. Once on scene the team assessed the casualty and she had sustained a possible ankle fracture. Once off the fell the casualties partner transported her to hospital. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Cautley Spout
2021-06-30,"The team was called to assist with a group of walkers having difficulty on steep ground near Cautley Spout. After establishing their exact location, the team leader was able to provide advice to the persons and they made their own way off the hill. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Cautley Spout
2021-07-02,"The team received a page from Cumbria Police, that was swiftly identified as being on another team’s patch, and so we passed the call to Keswick MRT. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Northern Lakes
2021-07-08,Team called by Cumbria Police. A walker had taken a fall whilst walking between Ill Bell and Froswick on Kentmere horseshoe. Once on scene it was soon established that the gentleman had sustained a painful collar bone injury. Due to the nature of injury Rescue199 was requested and airlifted the casualty to Carlisle. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Ill Bell
2021-07-21,Team called by NWAS to assist with an incident at Devils Bridge. The casualty was already being treated by NWAS and NWAA crews when we arrived and alongside CFRS we assisted with the extraction of the casualty from the riverbank to the helimed. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Devil’s Bridge
